Lightning ID,Date/Time,Latitude,Longitude,Nearest town,State,Source,Severity confidence description,Max current,Flash rate,Damage total,Comments,
2,1905-05-26 00:00:00,-36.9000,145.5000,RUFFY,VIC,BOM,0,0,0,Houses damaged by lightning. 26/05/1905houses damaged by lightning.,
3,1906-01-01 00:00:00,-37.8000,145.0000,MELBOURNE,VIC,HUNT,0,0,0,"Roads and buildings damaged, fireball at St Kilda. 01/01/1906 Roads and buildings damaged, fireball at St Kilda.",
4,1907-01-25 00:00:00,-37.8000,145.0000,MELBOURNE,VIC,HUNT,0,0,0,Damage to buildings 25/01/1907 Damage to buildings,
5,1911-02-10 00:00:00,-37.8000,145.0000,MELBOURNE,VIC,HUNT,0,0,0, 10/02/1911,
6,1913-01-02 00:00:00,-37.7000,146.4000,ABERFELDY,VIC,BOM ARCHIVE A,0,0,0,"Lightning struck a building, woodwork caught fire. 02/01/1913 Lightning struck a pole, woodwork caught fire.",
7,1913-11-17 00:00:00,-36.2000,142.4000,WARRACKNABEAL,VIC,BOM ARCHIVE A,0,0,0,12 sheep killed. 17/11/1913 12 sheep killed.,
8,1913-12-30 00:00:00,-37.5000,145.1000,WHITTLESEA,VIC,BOM ARCHIVE A,0,0,0,4 men struck and burnt by lightning. 30/12/1913 4 men struck and burnt by lightning.,
9,1913-12-30 00:00:00,-37.3000,144.1000,DAYLESFORD,VIC,BOM ARCHIVE A,0,0,0,Lightning causes general damage. 30/12/1913 Lightning causes general damage.,
10,1914-01-25 00:00:00,-37.6000,143.8000,BALLARAT,VIC,BOM ARCHIVE A,0,0,0,"Trees blown down, several cattle killed. 25/01/1914 Trees blown down, several cattle killed.",
11,1914-02-06 00:00:00,-38.2000,144.3000,GEELONG,VIC,BOM,0,0,0,Lightning struck locomotive. 06/02/1914 Lightning struck locomotive.,
12,1914-12-24 00:00:00,-36.8000,145.9000,LIMA,VIC,BOM ARCHIVE A,0,0,0,Houses struck causing much damage. 24/12/1914 Houses struck causing much damage.,
13,1914-12-25 00:00:00,-36.3000,146.3000,WANGARATTA,VIC,BOM ARCHIVE A,0,0,0,Houses damaged. 25/12/1914 Houses damaged.,
14,1917-09-28 00:00:00,-38.8000,145.5000,WOORI-YALLOCK,VIC,BOM ARCHIVE A,0,0,0,7 sheep killed by lightning. 28/09/1917 7 sheep killed by lightning.,
